,cellName,cellMarker
862,Ionocyte cell,IGFBP5
863,Ionocyte cell,IMPA2
864,Ionocyte cell,INO80
865,Ionocyte cell,INPPL1
866,Ionocyte cell,IQGAP2
867,Ionocyte cell,IRF2BPL
868,Ionocyte cell,ITPKB
869,Ionocyte cell,ITPR2
870,Ionocyte cell,JADE1
871,Ionocyte cell,JAM3
872,Ionocyte cell,KCNH1
873,Ionocyte cell,KCNMA1
874,Ionocyte cell,KHDRBS3
875,Ionocyte cell,KIDINS220
876,Ionocyte cell,KLC1
877,Ionocyte cell,KLHL23
878,Ionocyte cell,KRT7
879,Ionocyte cell,KRT80
880,Ionocyte cell,LBH
881,Ionocyte cell,LEF1
882,Ionocyte cell,LGR4
883,Ionocyte cell,LIMA1
884,Ionocyte cell,LINC01187
885,Ionocyte cell,LRRC42
886,Ionocyte cell,LTBP2
887,Ionocyte cell,MAF
888,Ionocyte cell,MAN2A1
889,Ionocyte cell,MAOA
890,Ionocyte cell,MEF2D
891,Ionocyte cell,MEGF9
892,Ionocyte cell,MGAT5
893,Ionocyte cell,MIEF1
894,Ionocyte cell,MPC1
895,Ionocyte cell,MRFAP1L1
896,Ionocyte cell,MRPL34
897,Ionocyte cell,MRPS26
898,Ionocyte cell,MTHFD1L
899,Ionocyte cell,MYO6
900,Ionocyte cell,NCALD
901,Ionocyte cell,NCKAP5
902,Ionocyte cell,NDST1
903,Ionocyte cell,NDUFA4
904,Ionocyte cell,NEDD4L
905,Ionocyte cell,NEURL1
906,Ionocyte cell,NRIP3
907,Ionocyte cell,NT5C
908,Ionocyte cell,NT5DC3
909,Ionocyte cell,NUDT16L1
910,Ionocyte cell,OSBPL1A
911,Ionocyte cell,PALM2AKAP2
912,Ionocyte cell,PCBP4
913,Ionocyte cell,PDE1C
914,Ionocyte cell,PDK3
915,Ionocyte cell,PHB1
916,Ionocyte cell,PHF23
917,Ionocyte cell,PHOSPHO2-KLHL23
918,Ionocyte cell,PI4KB
919,Ionocyte cell,PKIB
920,Ionocyte cell,PLCB4
921,Ionocyte cell,PLCG2
922,Ionocyte cell,PLEKHF2
923,Ionocyte cell,PLEKHG3
924,Ionocyte cell,PLXDC2
925,Ionocyte cell,POSTN
926,Ionocyte cell,PPARGC1A
927,Ionocyte cell,PPP1R12B
928,Ionocyte cell,PPP1R18
929,Ionocyte cell,PPP2CA
930,Ionocyte cell,PPP2R3A
931,Ionocyte cell,PRDM4
932,Ionocyte cell,PRKAG2
933,Ionocyte cell,PRPF38A
934,Ionocyte cell,PSD3
935,Ionocyte cell,PSEN2
936,Ionocyte cell,PTAFR
937,Ionocyte cell,PTGFRN
938,Ionocyte cell,PTK2
939,Ionocyte cell,PXDN
940,Ionocyte cell,PYGB
941,Ionocyte cell,PYGO2
942,Ionocyte cell,QSOX1
943,Ionocyte cell,RAB37
944,Ionocyte cell,RAD51C
945,Ionocyte cell,RALA
946,Ionocyte cell,RARRES2
947,Ionocyte cell,RBMXL1
948,Ionocyte cell,RCAN2
949,Ionocyte cell,RECQL
950,Ionocyte cell,REPIN1
951,Ionocyte cell,RERG
952,Ionocyte cell,RET
953,Ionocyte cell,RFK
954,Ionocyte cell,RGMA
955,Ionocyte cell,RNF34
956,Ionocyte cell,RPS6KC1
957,Ionocyte cell,RRM2B
958,Ionocyte cell,SAV1
959,Ionocyte cell,SC5D
960,Ionocyte cell,SCARB2
961,Ionocyte cell,SCG2
962,Ionocyte cell,SCNN1B
963,Ionocyte cell,SDC2
964,Ionocyte cell,SEC11C
965,Ionocyte cell,SEC23B
966,Ionocyte cell,SEMA3C
967,Ionocyte cell,SERTAD4-AS1
968,Ionocyte cell,SH3GLB1
969,Ionocyte cell,SHISA2
970,Ionocyte cell,SIRT2
971,Ionocyte cell,SLC12A2
972,Ionocyte cell,SLC14A1
973,Ionocyte cell,SLC25A23
974,Ionocyte cell,SLC29A1
975,Ionocyte cell,SLC2A12
976,Ionocyte cell,SLC35F3
977,Ionocyte cell,SLC9A7
978,Ionocyte cell,SMAP1
979,Ionocyte cell,SMARCB1
980,Ionocyte cell,SMOC1
981,Ionocyte cell,SNTB1
982,Ionocyte cell,SP110
983,Ionocyte cell,ST14
984,Ionocyte cell,STAC2
985,Ionocyte cell,STAP1
986,Ionocyte cell,SUCLG1
987,Ionocyte cell,SULT1C2
988,Ionocyte cell,SVIL
989,Ionocyte cell,SYT7
990,Ionocyte cell,TBC1D1
991,Ionocyte cell,TBC1D14
992,Ionocyte cell,TBC1D2B
993,Ionocyte cell,TBC1D4
994,Ionocyte cell,TBC1D9
995,Ionocyte cell,TFCP2L1
996,Ionocyte cell,TFG
997,Ionocyte cell,TFPI
998,Ionocyte cell,TGFB3
999,Ionocyte cell,TGFBR2
1000,Ionocyte cell,THBS1
1001,Ionocyte cell,TMEM160
1002,Ionocyte cell,TMEM51
1003,Ionocyte cell,TMEM61
1004,Ionocyte cell,TMPRSS11E
1005,Ionocyte cell,TMPRSS13
1006,Ionocyte cell,TMSB4X
1007,Ionocyte cell,TMTC3
1008,Ionocyte cell,TMUB1
1009,Ionocyte cell,TPD52
1010,Ionocyte cell,TPM1
1011,Ionocyte cell,TRIM47
1012,Ionocyte cell,TRIM8
1013,Ionocyte cell,TSPAN14
1014,Ionocyte cell,TWSG1
1015,Ionocyte cell,UBE2MP1
1016,Ionocyte cell,UBXN2B
1017,Ionocyte cell,UHRF1BP1L
1018,Ionocyte cell,UNC5B-AS1
1019,Ionocyte cell,USF2
1020,Ionocyte cell,USP53
1021,Ionocyte cell,UST
1022,Ionocyte cell,VBP1
1023,Ionocyte cell,VEGFB
1024,Ionocyte cell,VGLL4
1025,Ionocyte cell,WDR1
1026,Ionocyte cell,WLS
1027,Ionocyte cell,YTHDC1
1028,Ionocyte cell,ZDHHC3
1029,Ionocyte cell,ZNF410
1030,Ionocyte cell,ZNF493
1031,Ionocyte cell,ZNF704
1032,FOXN4+ cell,ACTL6A
1033,FOXN4+ cell,ACTN1
1034,FOXN4+ cell,ADAM15
1035,FOXN4+ cell,ALDOA
1036,FOXN4+ cell,AMD1
1037,FOXN4+ cell,ARL4C
1038,FOXN4+ cell,ARNTL2
1039,FOXN4+ cell,BAMBI
1040,FOXN4+ cell,BTG3
1041,FOXN4+ cell,CARHSP1
1042,FOXN4+ cell,CASP3
1043,FOXN4+ cell,CCNO
1044,FOXN4+ cell,CDC20B
1045,FOXN4+ cell,CDK1
1046,FOXN4+ cell,CDK2AP2
1047,FOXN4+ cell,CDKN2A
1048,FOXN4+ cell,CDT1
1049,FOXN4+ cell,CENPM
1050,FOXN4+ cell,CHCHD2
1051,FOXN4+ cell,CHORDC1
1052,FOXN4+ cell,DBF4
1053,FOXN4+ cell,DGCR6
1054,FOXN4+ cell,DHFR
1055,FOXN4+ cell,DPY19L1
1056,FOXN4+ cell,E2F7
1057,FOXN4+ cell,E2F8
1058,FOXN4+ cell,EIF2S2
1059,FOXN4+ cell,ENO1
1060,FOXN4+ cell,FOXJ1
1061,FOXN4+ cell,FOXN4
1062,FOXN4+ cell,GADD45B
1063,FOXN4+ cell,GGH
1064,FOXN4+ cell,GSKIP
1065,FOXN4+ cell,HELLS
1066,FOXN4+ cell,HYLS1
1067,FOXN4+ cell,INSIG1
1068,FOXN4+ cell,ISYNA1
1069,FOXN4+ cell,KIAA0895
1070,FOXN4+ cell,LAYN
1071,FOXN4+ cell,LCK
1072,FOXN4+ cell,LRRC26
1073,FOXN4+ cell,LYZ
1074,FOXN4+ cell,MAZ
1075,FOXN4+ cell,MCIDAS
1076,FOXN4+ cell,MYCL
1077,FOXN4+ cell,NEK2
1078,FOXN4+ cell,NETO2
1079,FOXN4+ cell,NOP16
1080,FOXN4+ cell,OAT
1081,FOXN4+ cell,PAQR4
1082,FOXN4+ cell,PCSK6
1083,FOXN4+ cell,PIGW
1084,FOXN4+ cell,PLK4
1085,FOXN4+ cell,POLR2L
1086,FOXN4+ cell,PPM1G
1087,FOXN4+ cell,PRPS2
1088,FOXN4+ cell,PSIP1
1089,FOXN4+ cell,PSMC3
1090,FOXN4+ cell,PTGES3
1091,FOXN4+ cell,PTMA
1092,FOXN4+ cell,RANBP1
1093,FOXN4+ cell,RB1
1094,FOXN4+ cell,RCC2
1095,FOXN4+ cell,RTTN
1096,FOXN4+ cell,SLFN11
1097,FOXN4+ cell,SNRPG
1098,FOXN4+ cell,STIL
1099,FOXN4+ cell,TACC1
1100,FOXN4+ cell,TAF11
1101,FOXN4+ cell,TCF19
1102,FOXN4+ cell,TM7SF3
1103,FOXN4+ cell,TMEM106C
1104,FOXN4+ cell,TTC30A
1105,FOXN4+ cell,TYMS
1106,FOXN4+ cell,UBE2T
1107,FOXN4+ cell,USP13
1108,FOXN4+ cell,WDR61
1109,FOXN4+ cell,YWHAH
1110,SLC16A7+ cell,AAK1
1111,SLC16A7+ cell,AARD
1112,SLC16A7+ cell,AASDH
1113,SLC16A7+ cell,ABCA13
1114,SLC16A7+ cell,ABCA5
1115,SLC16A7+ cell,ABCA9
1116,SLC16A7+ cell,ABCC13
1117,SLC16A7+ cell,ABCC6
1118,SLC16A7+ cell,ABCC9
1119,SLC16A7+ cell,ABCF3
1120,SLC16A7+ cell,ABHD15
1121,SLC16A7+ cell,ABI2
1122,SLC16A7+ cell,ABL2
1123,SLC16A7+ cell,ACBD7
1124,SLC16A7+ cell,ACER3
1125,SLC16A7+ cell,ACIN1
1126,SLC16A7+ cell,ACKR4
1127,SLC16A7+ cell,ACSL6
1128,SLC16A7+ cell,ACSS3
1129,SLC16A7+ cell,ADAM17
1130,SLC16A7+ cell,ADAMTS2
1131,SLC16A7+ cell,ADAR
1132,SLC16A7+ cell,ADAT1
1133,SLC16A7+ cell,ADCY1
1134,SLC16A7+ cell,ADGB
1135,SLC16A7+ cell,ADPRS
1136,SLC16A7+ cell,AGAP6
1137,SLC16A7+ cell,AGBL2
1138,SLC16A7+ cell,AGER
1139,SLC16A7+ cell,AGMAT
1140,SLC16A7+ cell,AIPL1
1141,SLC16A7+ cell,AIRE
1142,SLC16A7+ cell,AK3
1143,SLC16A7+ cell,AKAP8
1144,SLC16A7+ cell,AKAP9
1145,SLC16A7+ cell,AKR1D1
1146,SLC16A7+ cell,ALG1
1147,SLC16A7+ cell,ALKBH4
1148,SLC16A7+ cell,ALPK1
1149,SLC16A7+ cell,ALS2
1150,SLC16A7+ cell,ANAPC4
1151,SLC16A7+ cell,ANGPT2
1152,SLC16A7+ cell,ANKIB1
1153,SLC16A7+ cell,ANKK1
1154,SLC16A7+ cell,ANKLE1
1155,SLC16A7+ cell,ANKRD11
1156,SLC16A7+ cell,ANKRD16
1157,SLC16A7+ cell,ANKRD18A
1158,SLC16A7+ cell,ANKRD20A9P
1159,SLC16A7+ cell,ANKRD30BP2
1160,SLC16A7+ cell,ANKRD36
1161,SLC16A7+ cell,ANKRD36B
1162,SLC16A7+ cell,ANKRD45
1163,SLC16A7+ cell,ANKRD62
1164,SLC16A7+ cell,ANKS6
1165,SLC16A7+ cell,ANP32A-IT1
1166,SLC16A7+ cell,AOC4P
1167,SLC16A7+ cell,AP1S3
1168,SLC16A7+ cell,AP4B1-AS1
1169,SLC16A7+ cell,AP4S1
1170,SLC16A7+ cell,AP5B1
1171,SLC16A7+ cell,APOC1P1
1172,SLC16A7+ cell,APOL6
1173,SLC16A7+ cell,ARAP1
1174,SLC16A7+ cell,ARFIP2
1175,SLC16A7+ cell,ARGFX
1176,SLC16A7+ cell,ARGLU1
1177,SLC16A7+ cell,ARHGAP32
1178,SLC16A7+ cell,ARHGAP8
1179,SLC16A7+ cell,ARHGEF26-AS1
1180,SLC16A7+ cell,ARHGEF4
1181,SLC16A7+ cell,ARID4B
1182,SLC16A7+ cell,ARIH2OS
1183,SLC16A7+ cell,ARL11
1184,SLC16A7+ cell,ARL16
1185,SLC16A7+ cell,ARL17A
1186,SLC16A7+ cell,ARMC9
1187,SLC16A7+ cell,ARPC4-TTLL3
1188,SLC16A7+ cell,ARRDC3-AS1
1189,SLC16A7+ cell,ASB11
1190,SLC16A7+ cell,ASB16-AS1
1191,SLC16A7+ cell,ATAD3C
1192,SLC16A7+ cell,ATCAY
1193,SLC16A7+ cell,ATG14
1194,SLC16A7+ cell,ATG16L2
1195,SLC16A7+ cell,ATM
1196,SLC16A7+ cell,ATP8B4
1197,SLC16A7+ cell,ATR
1198,SLC16A7+ cell,ATRN
1199,SLC16A7+ cell,B3GNT6
1200,SLC16A7+ cell,BCL2L15
1201,SLC16A7+ cell,BEST4
1202,SLC16A7+ cell,BHMT2
1203,SLC16A7+ cell,BIN3
1204,SLC16A7+ cell,BIN3-IT1
1205,SLC16A7+ cell,BIRC6
1206,SLC16A7+ cell,BIVM
1207,SLC16A7+ cell,BLZF1
1208,SLC16A7+ cell,BMPR2
1209,SLC16A7+ cell,BRIP1
1210,SLC16A7+ cell,BTAF1
1211,SLC16A7+ cell,BTBD7
1212,SLC16A7+ cell,BTBD9
1213,SLC16A7+ cell,BTD
1214,SLC16A7+ cell,BTN2A3P
1215,SLC16A7+ cell,BTN3A2
1216,SLC16A7+ cell,C14orf132
1217,SLC16A7+ cell,C15orf40
1218,SLC16A7+ cell,C17orf75
1219,SLC16A7+ cell,C18orf61
1220,SLC16A7+ cell,C1QTNF2
1221,SLC16A7+ cell,C21orf58
1222,SLC16A7+ cell,C21orf62
1223,SLC16A7+ cell,C2orf15
1224,SLC16A7+ cell,LINC02898
1225,SLC16A7+ cell,C3orf62
1226,SLC16A7+ cell,C4orf19
1227,SLC16A7+ cell,C4orf47
1228,SLC16A7+ cell,C5AR1
1229,SLC16A7+ cell,LINC02902
1230,SLC16A7+ cell,LINC02904
1231,SLC16A7+ cell,C8orf44
1232,SLC16A7+ cell,C8orf44-SGK3
1233,SLC16A7+ cell,LINC02908
1234,SLC16A7+ cell,CABP4
1235,SLC16A7+ cell,CACNG8
1236,SLC16A7+ cell,CAMK1D
1237,SLC16A7+ cell,CAPRIN2
1238,SLC16A7+ cell,CAPS2
1239,SLC16A7+ cell,CARF
1240,SLC16A7+ cell,CASD1
1241,SLC16A7+ cell,CATSPER2P1
1242,SLC16A7+ cell,CCAR1
1243,SLC16A7+ cell,CCBE1
1244,SLC16A7+ cell,ODAD1
1245,SLC16A7+ cell,CCDC125
1246,SLC16A7+ cell,CCDC142
1247,SLC16A7+ cell,CCDC144B
1248,SLC16A7+ cell,CCDC30
1249,SLC16A7+ cell,CCDC40
1250,SLC16A7+ cell,CCDC66
1251,SLC16A7+ cell,CENATAC
1252,SLC16A7+ cell,CCDC88C
1253,SLC16A7+ cell,CCL5
1254,SLC16A7+ cell,CCNL1
1255,SLC16A7+ cell,CCNL2
1256,SLC16A7+ cell,POLR1G
1257,SLC16A7+ cell,CD82
1258,SLC16A7+ cell,CD84
1259,SLC16A7+ cell,CD96
1260,SLC16A7+ cell,CDC14B
1261,SLC16A7+ cell,CDH23
1262,SLC16A7+ cell,CDHR3
1263,SLC16A7+ cell,CDK5RAP1
1264,SLC16A7+ cell,CDK5RAP3
1265,SLC16A7+ cell,CDKN2B-AS1
1266,SLC16A7+ cell,CEACAM22P
1267,SLC16A7+ cell,CEP104
1268,SLC16A7+ cell,CEP162
1269,SLC16A7+ cell,CEP164
1270,SLC16A7+ cell,CEP19
1271,SLC16A7+ cell,CEP290
1272,SLC16A7+ cell,CEP85L
1273,SLC16A7+ cell,CERS5
1274,SLC16A7+ cell,CFD
1275,SLC16A7+ cell,CFLAR
1276,SLC16A7+ cell,CHDH
1277,SLC16A7+ cell,CHRNB1
1278,SLC16A7+ cell,CHST12
1279,SLC16A7+ cell,CHST5
1280,SLC16A7+ cell,CHURC1
1281,SLC16A7+ cell,CLASRP
1282,SLC16A7+ cell,CLDN16
1283,SLC16A7+ cell,CLDN19
1284,SLC16A7+ cell,CLEC4GP1
1285,SLC16A7+ cell,CLHC1
1286,SLC16A7+ cell,CLK1
1287,SLC16A7+ cell,CLK4
1288,SLC16A7+ cell,CLMN
1289,SLC16A7+ cell,CLMP
1290,SLC16A7+ cell,CLN8
1291,SLC16A7+ cell,CLUAP1
1292,SLC16A7+ cell,CMBL
1293,SLC16A7+ cell,CNTN3
1294,SLC16A7+ cell,CNTRL
1295,SLC16A7+ cell,CNTROB
1296,SLC16A7+ cell,COA7
1297,SLC16A7+ cell,COL21A1
1298,SLC16A7+ cell,COL7A1
1299,SLC16A7+ cell,COMMD2
1300,SLC16A7+ cell,COX18
1301,SLC16A7+ cell,COX19
1302,SLC16A7+ cell,CPT2
1303,SLC16A7+ cell,CREBZF
1304,SLC16A7+ cell,CROCC
1305,SLC16A7+ cell,CRX
1306,SLC16A7+ cell,CSAD
1307,SLC16A7+ cell,CSRP3
1308,SLC16A7+ cell,CSTF3
1309,SLC16A7+ cell,CTBP1-AS
1310,SLC16A7+ cell,CTH
1311,SLC16A7+ cell,CTNS
1312,SLC16A7+ cell,CUL9
1313,SLC16A7+ cell,CWC25
1314,SLC16A7+ cell,CXCR2
1315,SLC16A7+ cell,TASL
1316,SLC16A7+ cell,CYB561
1317,SLC16A7+ cell,CYB5D2
1318,SLC16A7+ cell,CYB5RL
1319,SLC16A7+ cell,CYP20A1
1320,SLC16A7+ cell,CYP4F12
1321,SLC16A7+ cell,DBIL5P2
1322,SLC16A7+ cell,DBT
1323,SLC16A7+ cell,DCAF10
1324,SLC16A7+ cell,DCAF16
1325,SLC16A7+ cell,DCP1A
1326,SLC16A7+ cell,DCTN5
1327,SLC16A7+ cell,DCUN1D2
1328,SLC16A7+ cell,DDX17
1329,SLC16A7+ cell,DDX3Y
1330,SLC16A7+ cell,DDX5
1331,SLC16A7+ cell,DDX51
1332,SLC16A7+ cell,DDX55
1333,SLC16A7+ cell,DENND5B
1334,SLC16A7+ cell,DESI1
1335,SLC16A7+ cell,DFFA
1336,SLC16A7+ cell,DGKE
1337,SLC16A7+ cell,DIAPH2
1338,SLC16A7+ cell,DIP2A
1339,SLC16A7+ cell,DIP2C
1340,SLC16A7+ cell,DIS3L
1341,SLC16A7+ cell,DLEC1
1342,SLC16A7+ cell,DLEU1
1343,SLC16A7+ cell,DLGAP1-AS2
1344,SLC16A7+ cell,DMBT1L1
1345,SLC16A7+ cell,DMBX1
1346,SLC16A7+ cell,DMC1
1347,SLC16A7+ cell,DMTF1
1348,SLC16A7+ cell,DNAAF1
1349,SLC16A7+ cell,DNAAF2
1350,SLC16A7+ cell,DNAH1
1351,SLC16A7+ cell,DNAH11
1352,SLC16A7+ cell,DNAH12
1353,SLC16A7+ cell,DNAH2
1354,SLC16A7+ cell,DNAH3
1355,SLC16A7+ cell,DNAH5
1356,SLC16A7+ cell,DNAH7
1357,SLC16A7+ cell,DNAJC22
1358,SLC16A7+ cell,DNASE1
1359,SLC16A7+ cell,DNASE2
1360,SLC16A7+ cell,DNM1P46
1361,SLC16A7+ cell,DNMBP
1362,SLC16A7+ cell,DNMBP-AS1
1363,SLC16A7+ cell,DOC2A
1364,SLC16A7+ cell,DPH7
1365,SLC16A7+ cell,DPP9
1366,SLC16A7+ cell,DPY19L2P2
1367,SLC16A7+ cell,DSC1
1368,SLC16A7+ cell,DSEL
1369,SLC16A7+ cell,DSTYK
1370,SLC16A7+ cell,DUXA
1371,SLC16A7+ cell,DYNC1LI2
1372,SLC16A7+ cell,DYNC2H1
1373,SLC16A7+ cell,DZANK1
1374,SLC16A7+ cell,DZIP1L
1375,SLC16A7+ cell,ECHDC2
1376,SLC16A7+ cell,EFCAB11
1377,SLC16A7+ cell,EFCAB5
1378,SLC16A7+ cell,EFHC1
1379,SLC16A7+ cell,EGFEM1P
1380,SLC16A7+ cell,EHBP1L1
1381,SLC16A7+ cell,ELMOD1
1382,SLC16A7+ cell,ELMOD3
1383,SLC16A7+ cell,EMC3-AS1
1384,SLC16A7+ cell,ENGASE
1385,SLC16A7+ cell,ENO2
1386,SLC16A7+ cell,ENTPD4
1387,SLC16A7+ cell,EPS8L2
1388,SLC16A7+ cell,ERAP2
1389,SLC16A7+ cell,ERC1
1390,SLC16A7+ cell,ERCC6L2
1391,SLC16A7+ cell,ERVK13-1
1392,SLC16A7+ cell,ERVV-1
1393,SLC16A7+ cell,EVI5L
1394,SLC16A7+ cell,EXD3
1395,SLC16A7+ cell,EXO5
1396,SLC16A7+ cell,EXOC1
1397,SLC16A7+ cell,EXOC3L2
1398,SLC16A7+ cell,EXOG
1399,SLC16A7+ cell,F5
1400,SLC16A7+ cell,FAAH2
1401,SLC16A7+ cell,FADS6
1402,SLC16A7+ cell,FAHD1
1403,SLC16A7+ cell,FAM106A
1404,SLC16A7+ cell,FAM111A
1405,SLC16A7+ cell,FAM111B
1406,SLC16A7+ cell,FAM126B
1407,SLC16A7+ cell,FAM133B
1408,SLC16A7+ cell,FHIP1B
1409,SLC16A7+ cell,FAM161A
1410,SLC16A7+ cell,FAM184B
1411,SLC16A7+ cell,FAM217B
1412,SLC16A7+ cell,FAM219B
1413,SLC16A7+ cell,FAM221A
1414,SLC16A7+ cell,FAM227A
1415,SLC16A7+ cell,FAM230B
1416,SLC16A7+ cell,GARIN1A
1417,SLC16A7+ cell,FAM74A3
1418,SLC16A7+ cell,FAM76A
1419,SLC16A7+ cell,FAM83E
1420,SLC16A7+ cell,FAM95C
1421,SLC16A7+ cell,FANCD2
1422,SLC16A7+ cell,FANK1
1423,SLC16A7+ cell,FBLIM1
1424,SLC16A7+ cell,FBXL13
1425,SLC16A7+ cell,FBXL18
1426,SLC16A7+ cell,FBXL19-AS1
1427,SLC16A7+ cell,FBXL20
1428,SLC16A7+ cell,FBXO48
1429,SLC16A7+ cell,FBXO6
1430,SLC16A7+ cell,FCAR
1431,SLC16A7+ cell,FDPSP2
1432,SLC16A7+ cell,FGD5P1
1433,SLC16A7+ cell,CEP43
1434,SLC16A7+ cell,FGFR2
1435,SLC16A7+ cell,FILIP1
1436,SLC16A7+ cell,FKBP14
1437,SLC16A7+ cell,FKBP1AP1
1438,SLC16A7+ cell,IL6ST-DT
1439,SLC16A7+ cell,ACTE1P
1440,SLC16A7+ cell,FLJ42627
1441,SLC16A7+ cell,FLVCR1
1442,SLC16A7+ cell,FMN1
1443,SLC16A7+ cell,FNBP1
1444,SLC16A7+ cell,FNBP4
1445,SLC16A7+ cell,FRAS1
1446,SLC16A7+ cell,FRMD6-AS1
1447,SLC16A7+ cell,FRY-AS1
1448,SLC16A7+ cell,FSD2
1449,SLC16A7+ cell,FUT2
1450,SLC16A7+ cell,FUT6
1451,SLC16A7+ cell,FXN
1452,SLC16A7+ cell,GABPB1-AS1
1453,SLC16A7+ cell,GABRB3
1454,SLC16A7+ cell,GALM
1455,SLC16A7+ cell,GALNT6
1456,SLC16A7+ cell,GAMT
1457,SLC16A7+ cell,GAS7
1458,SLC16A7+ cell,GBP4
1459,SLC16A7+ cell,GCAT
1460,SLC16A7+ cell,GDAP1L1
1461,SLC16A7+ cell,GDPD1
1462,SLC16A7+ cell,GEMIN8
1463,SLC16A7+ cell,GFOD2
1464,SLC16A7+ cell,GGA1
1465,SLC16A7+ cell,GGPS1
1466,SLC16A7+ cell,GGT8P
1467,SLC16A7+ cell,GJD4
1468,SLC16A7+ cell,GK5
1469,SLC16A7+ cell,GLB1L
1470,SLC16A7+ cell,GMEB1
1471,SLC16A7+ cell,GNB4
1472,SLC16A7+ cell,GNB5
1473,SLC16A7+ cell,GNE
1474,SLC16A7+ cell,GNRHR2
1475,SLC16A7+ cell,GOLGA2
1476,SLC16A7+ cell,GOLGA2P5
1477,SLC16A7+ cell,GOLGA6L10
1478,SLC16A7+ cell,GOLGA6L4
1479,SLC16A7+ cell,GOLGA6L9
1480,SLC16A7+ cell,GOLGA8A
1481,SLC16A7+ cell,GON4L
1482,SLC16A7+ cell,GOPC
1483,SLC16A7+ cell,GP2
1484,SLC16A7+ cell,GPATCH2
1485,SLC16A7+ cell,GPR155
1486,SLC16A7+ cell,GPR82
1487,SLC16A7+ cell,GRAMD1B
1488,SLC16A7+ cell,GREB1
1489,SLC16A7+ cell,GRTP1
1490,SLC16A7+ cell,GSDMB
1491,SLC16A7+ cell,GSG1
1492,SLC16A7+ cell,GSTM3
1493,SLC16A7+ cell,GSTTP2
1494,SLC16A7+ cell,GTF2F1
1495,SLC16A7+ cell,GTF2H2
1496,SLC16A7+ cell,GTF2H2B
1497,SLC16A7+ cell,GTF2H3
1498,SLC16A7+ cell,GTF2H5
1499,SLC16A7+ cell,GTPBP10
1500,SLC16A7+ cell,GUCA1B
1501,SLC16A7+ cell,GUSBP3
1502,SLC16A7+ cell,H1-10-AS1
1503,SLC16A7+ cell,HAUS3
1504,SLC16A7+ cell,HCAR1
1505,SLC16A7+ cell,HCG11
1506,SLC16A7+ cell,HEATR3
1507,SLC16A7+ cell,HECTD4
1508,SLC16A7+ cell,HERC2P2
1509,SLC16A7+ cell,HERC2P9
1510,SLC16A7+ cell,HHLA3
1511,SLC16A7+ cell,HIP1
1512,SLC16A7+ cell,HIPK1-AS1
1513,SLC16A7+ cell,HLA-J
1514,SLC16A7+ cell,HLTF
1515,SLC16A7+ cell,HNF1A-AS1
1516,SLC16A7+ cell,HSCB
1517,SLC16A7+ cell,HSH2D
1518,SLC16A7+ cell,HSPA4L
1519,SLC16A7+ cell,HTATSF1P2
1520,SLC16A7+ cell,IBA57
1521,SLC16A7+ cell,ICA1L
1522,SLC16A7+ cell,IDO1
1523,SLC16A7+ cell,IFI44L
1524,SLC16A7+ cell,IFT80
1525,SLC16A7+ cell,IGF2BP2
1526,SLC16A7+ cell,IGSF9
1527,SLC16A7+ cell,IKBIP
1528,SLC16A7+ cell,IKBKB
1529,SLC16A7+ cell,IKZF2
1530,SLC16A7+ cell,IKZF3
1531,SLC16A7+ cell,IKZF4
1532,SLC16A7+ cell,IL10RB
1533,SLC16A7+ cell,IL17RA
1534,SLC16A7+ cell,IL17RE
1535,SLC16A7+ cell,IL23R
1536,SLC16A7+ cell,IL27RA
1537,SLC16A7+ cell,INE1
1538,SLC16A7+ cell,INE2
1539,SLC16A7+ cell,INGX
1540,SLC16A7+ cell,INTU
1541,SLC16A7+ cell,IP6K1
1542,SLC16A7+ cell,IPO5P1
1543,SLC16A7+ cell,IPP
1544,SLC16A7+ cell,ISG20L2
1545,SLC16A7+ cell,ITIH5
1546,SLC16A7+ cell,ITPK1-AS1
1547,SLC16A7+ cell,ITSN1
1548,SLC16A7+ cell,JAM2
1549,SLC16A7+ cell,JMJD6
1550,SLC16A7+ cell,JMJD7
1551,SLC16A7+ cell,JPX
1552,SLC16A7+ cell,KANK4
1553,SLC16A7+ cell,KANSL1L
1554,SLC16A7+ cell,KAT2A
1555,SLC16A7+ cell,KATNAL1
1556,SLC16A7+ cell,KBTBD6
1557,SLC16A7+ cell,KCMF1
1558,SLC16A7+ cell,KCNA7
1559,SLC16A7+ cell,KCNH6
1560,SLC16A7+ cell,KCNJ14
1561,SLC16A7+ cell,KCNJ3
1562,SLC16A7+ cell,KCNJ5
1563,SLC16A7+ cell,KCNQ1OT1
1564,SLC16A7+ cell,KCP
1565,SLC16A7+ cell,KDM3A
1566,SLC16A7+ cell,KDM4A-AS1
1567,SLC16A7+ cell,KDSR
1568,SLC16A7+ cell,KIAA0319
1569,SLC16A7+ cell,KIAA0408
1570,SLC16A7+ cell,KIAA0753
1571,SLC16A7+ cell,KIAA0895L
1572,SLC16A7+ cell,KIAA1614
1573,SLC16A7+ cell,KIAA1656
1574,SLC16A7+ cell,KIF1B
1575,SLC16A7+ cell,KIR3DX1
1576,SLC16A7+ cell,KLHL22
1577,SLC16A7+ cell,KNG1
1578,SLC16A7+ cell,KPNA6
1579,SLC16A7+ cell,KRBA2
1580,SLC16A7+ cell,KREMEN1
1581,SLC16A7+ cell,L1TD1
1582,SLC16A7+ cell,L2HGDH
